Industry,Industry Segment,Source,Notes,CF,"Industry Segment Revenue
(NPV in $M)",,,,,,,,,,,,,,,,,,,,,
,,,,,Global,Americas,US,Europe,Asia,China,Japan,Korea,,,,,,,,,,,,,,
Application Specific ICs,,,,,,,,,,,,,,,,,,,,,,,,,,
,Audio and Video Processing,,,,,,,,,,,,,,,,,,,,,,,,,
,Space-grade,,Radiation hardened ASICs,Low,538,237,237,129,123,90,20,13,,,,,,,,,,,,,,
,Automotive ICs,,,,,,,,,,,,,,,,,,,,,,,,,
,Consumer,,,,,,,,,,,,,,,,,,,,,,,,,
,Graphics Ics,,,,,,,,,,,,,,,,,,,,,,,,,
,Storage,,,,,,,,,,,,,,,,,,,,,,,,,
,System Support ICs,,,,,,,,,,,,,,,,,,,,,,,,,
,Wired Communication,,,,,,,,,,,,,,,,,,,,,,,,,
,Wireless Communication,,,,,,,,,,,,,,,,,,,,,,,,,
Communication Equipments,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer Premises Equipment (CPE),,,,,,,,,,,,,,,,,,,,,,,,,
,IP Phones and Systems,,,,,,,,,,,,,,,,,,,,,,,,,
,Powerline Networking,,,,,,,,,,,,,,,,,,,,,,,,,
,Routers,,,,,,,,,,,,,,,,,,,,,,,,,
,Security Systems,,"Security and Fire systems and services, WiFi Thermostats, Smart Home products (plan to spin out YE 2018)",High,4457,1329,1329,934,1762,1282,288,192,,,,,,,,,,,,,,
,Service Provider Equipments,,,,,,,,,,,,,,,,,,,,,,,,,
,Switches,,,,,,,,,,,,,,,,,,,,,,,,,
,Telecom Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,
,Video Conferencing,,,,,,,,,,,,,,,,,,,,,,,,,
,Video and Cable Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,
,Wireless Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,
Components,,,,,,,,,,,,,,,,,,,,,,,,,,
,Batteries,,,,,,,,,,,,,,,,,,,,,,,,,
,Connectors,,,,,,,,,,,,,,,,,,,,,,,,,
,Electronic Housing and Enclosures,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuel Cells,,,,,,,,,,,,,,,,,,,,,,,,,
,Heat Exchange and Cooling,,,,,,,,,,,,,,,,,,,,,,,,,
,Image Sensors,,,,,,,,,,,,,,,,,,,,,,,,,
,Passive Components,,,,,,,,,,,,,,,,,,,,,,,,,
,Power Supply and Converters,,,,,,,,,,,,,,,,,,,,,,,,,
,Printed Circuit Boards,,,,,,,,,,,,,,,,,,,,,,,,,
,Solar Energy Storage,,,,,,,,,,,,,,,,,,,,,,,,,
